LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".S. Curry, .N. Bjelica, .K. Thompson, .J. Kuminga, .M. Moody",GSW,2,7,19,7,13,53.8,3,6,50.0,2,2,100,2,4,6,4,1,0,0,0,5,1,-3
".A. Iguodala, .N. Bjelica, .A. Wiggins, .D. Lee, .J. Kuminga",GSW,2,6,5,2,11,18.2,0,4,0.0,1,2,50.0,1,4,5,1,3,0,2,1,1,3,-10
".G. Payton II, .C. Chiozza, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,2,6,7,2,9,22.2,2,6,33.3,1,2,50.0,1,4,5,2,6,2,0,0,4,2,-11
".K. Looney, .C. Chiozza, .J. Toscano-Anderson, .J. Poole, .M. Moody",GSW,2,6,12,3,12,25.0,2,7,28.6,4,7,57.1,2,3,5,2,0,2,0,2,2,5,-1
".S. Curry, .O. Porter Jr., .A. Wiggins, .D. Lee, .J. Kuminga",GSW,2,6,15,6,12,50.0,1,6,16.7,2,2,100,1,8,9,3,2,0,1,0,3,1,1
".A. Iguodala, .S. Curry, .K. Thompson, .A. Wiggins, .G. Payton II",GSW,2,6,6,3,12,25.0,0,6,0.0,0,0,0.0,1,2,3,2,1,1,1,0,3,0,-11
".K. Looney, .D. Lee, .C. Chiozza, .J. Toscano-Anderson, .J. Kuminga",GSW,2,6,7,3,8,37.5,1,2,50.0,0,0,0.0,0,6,6,3,4,0,0,1,2,0,-11
".A. Iguodala, .S. Curry, .A. Wiggins, .K. Looney, .G. Payton II",GSW,2,6,14,5,17,29.4,0,7,0.0,4,4,100,6,7,13,1,1,3,1,0,4,3,11
".D. Green, .A. Wiggins, .G. Payton II, .J. Toscano-Anderson, .J. Poole",GSW,2,6,17,7,12,58.3,2,7,28.6,1,1,100,1,3,4,5,0,1,1,0,2,4,6
".A. Iguodala, .O. Porter Jr., .D. Lee, .J. Poole, .J. Kuminga",GSW,2,6,8,1,10,10.0,1,6,16.7,5,5,100,1,3,4,1,2,0,0,1,2,4,-12
".N. Bjelica, .K. Thompson, .J. Toscano-Anderson, .J. Poole, .J. Kuminga",GSW,2,6,13,6,11,54.5,1,3,33.3,0,0,0.0,2,4,6,4,2,0,1,0,1,0,-4
".D. Lee, .C. Chiozza, .J. Poole, .J. Kuminga, .M. Moody",GSW,2,6,15,6,13,46.2,3,7,42.9,0,0,0.0,3,4,7,4,2,0,0,1,3,0,7
".A. Wiggins, .K. Looney, .D. Lee, .J. Poole, .M. Moody",GSW,2,5,14,6,13,46.2,2,8,25.0,0,0,0.0,1,2,3,3,0,1,0,0,1,1,-4
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,2,5,21,7,8,87.5,5,6,83.3,2,2,100,0,4,4,6,2,1,1,0,1,2,9
".A. Iguodala, .S. Curry, .D. Green, .O. Porter Jr., .G. Payton II",GSW,2,5,10,2,10,20.0,1,5,20.0,5,6,83.3,2,3,5,2,0,1,0,1,0,4,-3
".A. Iguodala, .N. Bjelica, .G. Payton II, .D. Lee, .J. Poole",GSW,2,5,14,5,8,62.5,1,3,33.3,3,4,75.0,1,4,5,4,2,3,0,0,3,3,7
".A. Iguodala, .S. Curry, .N. Bjelica, .D. Lee, .J. Kuminga",GSW,2,5,17,6,8,75.0,1,2,50.0,4,6,66.7,1,6,7,4,1,2,1,0,1,3,12
".S. Curry, .O. Porter Jr., .D. Lee, .J. Poole, .J. Kuminga",GSW,2,5,7,3,13,23.1,1,6,16.7,0,0,0.0,2,5,7,3,1,2,0,2,2,0,1
".S. Curry, .D. Lee, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,2,5,13,5,9,55.6,3,5,60.0,0,2,0.0,0,4,4,0,3,2,0,1,4,3,0
".O. Porter Jr., .K. Looney, .G. Payton II, .D. Lee, .J. Poole",GSW,2,5,7,3,10,30.0,0,5,0.0,1,1,100,0,2,2,2,1,1,0,1,4,2,-9
".S. Curry, .N. Bjelica, .A. Wiggins, .C. Chiozza, .J. Toscano-Anderson",GSW,2,5,8,4,8,50.0,0,2,0.0,0,0,0.0,1,4,5,3,1,0,0,0,1,1,-2
".S. Curry, .K. Thompson, .J. Poole, .J. Kuminga, .M. Moody",GSW,2,5,8,3,6,50.0,0,1,0.0,2,4,50.0,2,4,6,2,2,0,0,0,3,3,-2
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .A. Wiggins, .G. Payton II",GSW,2,5,10,3,4,75.0,1,2,50.0,3,4,75.0,0,2,2,2,3,1,0,0,2,2,0
".A. Iguodala, .N. Bjelica, .D. Lee, .J. Poole, .J. Kuminga",GSW,2,5,12,3,6,50.0,2,5,40.0,4,4,100,0,1,1,3,4,2,0,0,2,2,-2
".N. Bjelica, .O. Porter Jr., .C. Chiozza, .J. Poole, .J. Kuminga",GSW,2,4,11,5,11,45.5,1,4,25.0,0,0,0.0,1,1,2,2,0,1,0,1,1,0,-7
".A. Iguodala, .A. Wiggins, .K. Looney, .J. Poole, .M. Moody",GSW,2,4,10,4,8,50.0,2,4,50.0,0,0,0.0,1,5,6,1,1,0,1,1,0,3,3
".N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Poole, .J. Kuminga",GSW,2,4,10,3,7,42.9,1,3,33.3,3,3,100,0,7,7,3,2,1,0,1,1,1,6
".O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole, .M. Moody",GSW,2,4,2,1,9,11.1,0,3,0.0,0,0,0.0,1,2,3,1,0,2,0,0,0,1,-6
".A. Iguodala, .S. Curry, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,2,4,12,5,8,62.5,1,3,33.3,1,2,50.0,1,3,4,1,2,0,1,0,1,1,4
".S. Curry, .D. Green, .K. Looney, .G. Payton II, .J. Toscano-Anderson",GSW,2,4,8,3,6,50.0,0,1,0.0,2,3,66.7,1,2,3,1,1,3,1,0,5,1,0
".A. Iguodala, .S. Curry, .D. Green, .D. Lee, .J. Toscano-Anderson",GSW,2,4,8,4,8,50.0,0,3,0.0,0,0,0.0,0,3,3,3,1,2,0,0,2,0,-3
".S. Curry, .O. Porter Jr., .K. Looney, .G. Payton II, .J. Toscano-Anderson",GSW,2,4,11,4,7,57.1,2,3,66.7,1,1,100,0,3,3,4,1,1,1,0,0,1,9
".N. Bjelica, .A. Wiggins, .D. Lee, .C. Chiozza, .J. Kuminga",GSW,2,4,3,0,4,0.0,0,2,0.0,3,4,75.0,1,2,3,0,2,2,0,0,2,3,-1
".S. Curry, .A. Wiggins, .K. Looney, .J. Kuminga, .M. Moody",GSW,2,4,4,1,6,16.7,0,4,0.0,2,2,100,1,5,6,0,3,0,0,0,2,1,-5
".O. Porter Jr., .A. Wiggins, .K. Looney, .J. Toscano-Anderson, .J. Poole",GSW,2,4,9,3,8,37.5,1,3,33.3,2,2,100,3,4,7,2,2,0,0,0,1,1,1
".S. Curry, .N. Bjelica, .A. Wiggins, .G. Payton II, .D. Lee",GSW,2,4,7,3,7,42.9,0,1,0.0,1,2,50.0,0,2,2,2,1,0,0,0,1,2,-5
".S. Curry, .K. Thompson, .O. Porter Jr., .D. Lee, .J. Kuminga",GSW,2,4,16,6,7,85.7,2,3,66.7,2,2,100,0,4,4,5,1,0,1,0,2,1,11
".S. Curry, .D. Green, .O. Porter Jr., .G. Payton II, .D. Lee",GSW,2,4,7,3,10,30.0,1,3,33.3,0,0,0.0,2,2,4,2,0,0,0,2,1,1,-3
".N. Bjelica, .D. Green, .G. Payton II, .J. Toscano-Anderson, .J. Poole",GSW,2,4,5,2,7,28.6,0,3,0.0,1,1,100,1,4,5,2,0,0,0,0,3,2,-3
".A. Iguodala, .S. Curry, .O. Porter Jr., .A. Wiggins, .D. Lee",GSW,2,4,9,3,6,50.0,1,2,50.0,2,3,66.7,0,3,3,2,1,0,1,0,0,1,0
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Kuminga",GSW,2,3,8,2,5,40.0,2,3,66.7,2,2,100,0,4,4,0,1,1,1,1,1,2,4
".K. Thompson, .D. Green, .A. Wiggins, .G. Payton II, .J. Poole",GSW,2,3,8,3,7,42.9,2,5,40.0,0,0,0.0,1,2,3,2,1,0,0,0,3,0,-6
".A. Iguodala, .S. Curry, .N. Bjelica, .J. Toscano-Anderson, .J. Poole",GSW,2,3,11,2,5,40.0,1,2,50.0,6,7,85.7,0,2,2,1,0,0,0,1,2,4,3
