,Player,FG-FGA,3P-3PA,FT-FTA,Off,Def,Tot,PF,TP,A,TO,Blk,Stl,Min,Date,Event
10,Jobe Bryant,2-6,0-0,2-2,1,1,2,3,6,1,1,0,2,17,07/19/2022,16U Peach Jam
11,Ramzi Salem,1-2,1-2,0-0,0,0,0,0,3,0,0,0,0,10,07/19/2022,16U Peach Jam
12,Dallas Thomas,2-9,1-2,5-7,2,6,8,0,10,1,0,1,0,24,07/19/2022,16U Peach Jam
13,Aidan Burns,0-0,0-0,0-0,2,0,2,0,0,0,1,0,0,2,07/19/2022,16U Peach Jam
14,Oliver Kokal,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,2,07/19/2022,16U Peach Jam
15,Landren Blocker,2-8,0-2,0-0,3,1,4,3,4,0,1,0,1,15,07/19/2022,16U Peach Jam
16,Jadis Jones,3-6,0-0,3-4,0,2,2,4,9,3,2,0,3,20,07/19/2022,16U Peach Jam
17,Xavier Shegog,0-4,0-0,0-0,3,1,4,2,0,0,1,1,1,16,07/19/2022,16U Peach Jam
18,Jordan McCullum,4-13,2-5,0-0,1,3,4,2,10,0,2,0,1,30,07/19/2022,16U Peach Jam
19,Josiah Miller,0-4,0-1,0-2,2,2,4,3,0,1,1,1,1,14,07/19/2022,16U Peach Jam
20,Tyler Tanner,4-10,1-3,3-4,1,1,2,1,12,3,3,1,5,23,07/19/2022,16U Peach Jam
0,Jobe Bryant,1-9,1-4,7-9,0,2,2,2,10,5,2,0,3,21,07/21/2022,16U Peach Jam
1,Ramzi Salem,0-2,0-1,0-1,0,0,0,0,0,1,1,0,1,9,07/21/2022,16U Peach Jam
2,Dallas Thomas,5-9,3-4,3-3,1,4,5,4,16,0,4,0,1,23,07/21/2022,16U Peach Jam
3,Aidan Burns,1-1,0-0,0-0,0,0,0,0,2,0,0,0,1,5,07/21/2022,16U Peach Jam
4,Oliver Kokal,0-1,0-0,0-0,2,0,2,0,0,1,0,0,0,5,07/21/2022,16U Peach Jam
5,Landren Blocker,7-9,0-0,0-2,2,2,4,3,14,2,5,0,2,26,07/21/2022,16U Peach Jam
6,Jadis Jones,3-9,0-1,4-9,5,6,11,3,10,1,4,0,6,21,07/21/2022,16U Peach Jam
7,Xavier Shegog,1-3,0-0,0-0,2,2,4,3,2,1,0,0,1,10,07/21/2022,16U Peach Jam
8,Jordan McCullum,5-14,3-6,4-4,1,3,4,2,17,1,3,2,2,26,07/21/2022,16U Peach Jam
9,Josiah Miller,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/21/2022,16U Peach Jam
10,Tyler Tanner,3-6,1-1,2-3,2,1,3,1,9,4,1,0,3,24,07/21/2022,16U Peach Jam
11,Ryder Elisaldez,2-4,0-0,1-1,0,3,3,3,5,7,3,0,2,28,07/21/2022,16U Peach Jam
12,Anthony Gilkes,0-3,0-2,0-0,1,1,2,3,0,0,1,0,3,13,07/21/2022,16U Peach Jam
13,Khaman Maker,5-7,1-1,2-2,1,6,7,3,13,0,3,4,0,24,07/21/2022,16U Peach Jam
14,Josiah Cunningham,5-12,1-6,2-4,1,1,2,2,13,1,2,0,1,18,07/21/2022,16U Peach Jam
15,Anthony Nwuli,0-3,0-0,0-0,1,4,5,4,0,1,0,0,0,10,07/21/2022,16U Peach Jam
16,Taj DeGourville,2-8,1-4,0-0,0,0,0,5,5,0,4,0,1,23,07/21/2022,16U Peach Jam
17,John Mobley,9-11,4-5,11-11,0,5,5,2,33,3,6,0,1,27,07/21/2022,16U Peach Jam
18,Christopher Nwuli,3-6,0-2,1-2,1,4,5,5,7,2,6,0,0,24,07/21/2022,16U Peach Jam
0,Jalil Bethea,5-11,1-7,0-0,1,8,9,0,11,0,2,0,1,32,07/17/2022,16U Peach Jam
1,Robert Wright,3-17,1-2,3-4,2,8,10,1,10,3,3,0,0,31,07/17/2022,16U Peach Jam
2,Tyler Iwanonkiw,0-1,0-1,0-0,0,0,0,1,0,0,0,0,0,3,07/17/2022,16U Peach Jam
3,Amir Williams,1-4,0-2,3-4,1,0,1,1,5,0,0,0,1,18,07/17/2022,16U Peach Jam
4,Thomas Sorber,7-12,2-3,4-4,2,4,6,3,20,0,3,2,0,28,07/17/2022,16U Peach Jam
5,Aasim Burton,0-1,0-0,3-4,0,0,0,2,3,0,0,0,0,8,07/17/2022,16U Peach Jam
6,Makye Taylor,3-5,0-1,1-3,2,1,3,1,7,0,0,0,0,16,07/17/2022,16U Peach Jam
7,Nick Coval,0-2,0-2,0-0,0,2,2,1,0,3,0,0,1,25,07/17/2022,16U Peach Jam
8,James Moore,7-10,0-1,1-2,2,2,4,4,15,1,0,3,0,19,07/17/2022,16U Peach Jam
9,Dwayne Pierce,3-11,0-1,0-0,0,2,2,1,6,5,3,0,2,31,07/17/2022,16U Peach Jam
10,Allyn Wright,0-1,0-1,0-0,0,0,0,0,0,1,1,0,0,4,07/17/2022,16U Peach Jam
11,Jaiden Glover,1-1,1-1,0-0,0,0,0,1,3,0,1,0,0,9,07/17/2022,16U Peach Jam
12,Qingfang Pang,4-8,2-5,3-4,1,8,9,3,13,1,2,2,0,26,07/17/2022,16U Peach Jam
13,Richard Brisco,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/17/2022,16U Peach Jam
14,Dylan Harper,3-15,0-6,4-4,1,5,6,0,10,2,1,0,0,28,07/17/2022,16U Peach Jam
15,Dante Green,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/17/2022,16U Peach Jam
16,Tyler Betsey,1-7,0-3,0-0,2,3,5,2,2,2,0,0,1,29,07/17/2022,16U Peach Jam
17,Nico Pena,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/17/2022,16U Peach Jam
18,Eric Ihekwaba,2-5,0-0,0-0,3,3,6,2,4,0,0,0,0,14,07/17/2022,16U Peach Jam
0,Isaiah Evans,0-3,0-3,2-4,1,5,6,1,2,1,3,1,0,15,07/19/2022,16U Peach Jam
1,Elijah Crawford,6-16,2-3,5-6,3,3,6,3,19,0,3,0,2,28,07/19/2022,16U Peach Jam
2,Joshua Dixon,0-3,0-1,0-0,1,1,2,0,0,0,1,0,0,7,07/19/2022,16U Peach Jam
3,Larry,0-5,0-2,1-3,0,5,5,2,1,2,0,0,2,13,07/19/2022,16U Peach Jam
4,Lavonta Iveey,1-3,0-0,0-1,0,1,1,1,2,0,2,0,0,21,07/19/2022,16U Peach Jam
5,Michael Marcus,1-7,0-1,0-0,1,0,1,3,2,0,1,1,1,20,07/19/2022,16U Peach Jam
6,Santana Lynch,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0,07/19/2022,16U Peach Jam
7,Derrion Reid,1-8,0-0,3-6,2,2,4,3,5,2,0,0,1,25,07/19/2022,16U Peach Jam
8,Katayvon Jefferies,1-1,0-0,0-0,1,2,3,1,2,0,1,0,2,20,07/19/2022,16U Peach Jam
9,Jahkiaus Jones,1-3,0-0,1-2,0,1,1,1,3,1,3,0,0,13,07/19/2022,16U Peach Jam
10,Daquan Davis,3-6,2-2,3-3,0,4,4,3,11,4,1,0,0,18,07/19/2022,16U Peach Jam
11,Nykolas Lewis,5-12,2-5,1-2,2,3,5,1,13,1,1,0,3,20,07/19/2022,16U Peach Jam
12,Nathan Guerengomba,2-5,0-0,2-3,0,0,0,1,6,0,1,0,0,19,07/19/2022,16U Peach Jam
