Player,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Odyssey Sims,MIN,34,34,31.9,5.6,13.4,0.415,0.7,2.7,0.269,4.8,10.6,0.453,0.443,2.6,3.3,0.795,0.7,3.4,5.4,1.4,0.1,3.3,2,14.5
Alanna Smith,PHO,18,0,7.4,0.4,2.3,0.195,0.1,1,0.111,0.3,1.3,0.261,0.22,0.1,0.1,0.5,0.6,1.9,0.2,0.3,0.3,0.4,1,1.1
Azura Stevens,DAL,9,1,16,2.1,5.9,0.358,0.1,1,0.111,2,4.9,0.409,0.368,0.4,0.6,0.8,1.7,3.6,0.6,0.6,1.1,1,1.3,4.8
Shekinna Stricklen,CON,34,34,23.6,3.1,7.5,0.408,2.2,5.9,0.382,0.8,1.6,0.5,0.557,0.6,0.8,0.815,0.3,1.9,1.1,1,0.2,0.8,2.3,9
Carolyn Swords,LVA,29,4,8.9,1.1,2.5,0.438,0,0,,1.1,2.5,0.438,0.438,0.4,0.4,0.846,0.7,2.2,0.3,0.2,0.1,0.6,0.9,2.6
Brittney Sykes,ATL,34,27,25.9,3.8,10.3,0.365,0.8,3.2,0.259,2.9,7.1,0.412,0.405,1.9,2.7,0.703,0.7,4.4,2.5,0.6,0.5,2,1.7,10.2
Stephanie Talbot,MIN,33,10,17,1.7,4.7,0.37,0.9,2.9,0.326,0.8,1.8,0.441,0.471,0.8,0.9,0.871,0.5,2.4,1.2,0.9,0.3,1.3,1.1,5.2
Diana Taurasi,PHO,6,6,21.5,0.7,6.5,0.103,0.2,4,0.042,0.5,2.5,0.2,0.115,2.8,3,0.944,0.2,3.2,5.3,0.3,0.2,2.2,2.5,4.3
Asia Taylor,TOT,12,0,8,0.8,2.3,0.357,0,0.2,0,0.8,2.2,0.385,0.357,0.5,0.7,0.75,0.7,1.8,0.7,0.2,0.1,0.6,0.8,2.2
Alyssa Thomas,CON,34,34,30.2,4.9,9.8,0.505,0,0,0,4.9,9.8,0.506,0.505,1.8,3.6,0.496,2.4,7.8,3.1,1.9,0.4,2,2.8,11.6
Jasmine Thomas,CON,34,34,29.7,4.1,10.4,0.392,1.3,3.6,0.366,2.8,6.8,0.405,0.455,1.6,2.1,0.8,0.6,2.9,5.1,1.4,0.1,2.7,1.8,11.1
Kayla Thornton,DAL,27,25,30.4,3.7,10.7,0.343,1,3.8,0.272,2.6,6.9,0.382,0.391,2,2.1,0.931,1.8,5.3,1.8,0.9,0.3,1.6,2.2,10.4
Shao Ting,MIN,5,0,5.4,0.4,2,0.2,0,0,,0.4,2,0.2,0.2,0.4,0.6,0.667,0.4,1.2,0.4,0,0.2,0.4,1.2,1.2
Kristi Toliver,WAS,23,23,29.5,5,10.2,0.494,1.6,4.3,0.36,3.5,5.9,0.593,0.57,1.3,1.5,0.857,0.5,2.9,5.9,1.2,0.1,2,1.3,13
Morgan Tuck,CON,33,0,10.7,1.4,3.5,0.388,0.5,1.3,0.357,0.9,2.2,0.405,0.453,0.5,0.9,0.6,0.5,2,0.8,0.4,0.1,0.9,1.3,3.7
Brianna Turner,PHO,29,12,15.9,1.7,3.1,0.538,0,0,,1.7,3.1,0.538,0.538,0.7,0.9,0.731,1.6,4.1,0.5,0.2,0.7,0.7,1.7,4
Yvonne Turner,PHO,29,14,20.5,2,5.9,0.343,0.9,2.7,0.329,1.1,3.2,0.355,0.419,1.5,1.7,0.878,0.3,2.8,2.3,0.6,0.1,2,1.3,6.4
Maria Vadeeva,LAS,15,1,12,3.4,6.9,0.49,0.3,1.1,0.313,3.1,5.9,0.523,0.514,0.7,0.9,0.769,1.2,3.9,0.7,1,0.2,1.2,1.5,7.8
Courtney Vandersloot,CHI,33,33,30,4.1,9.1,0.452,0.9,3.2,0.29,3.2,5.8,0.542,0.503,2.1,2.4,0.85,0.6,4.3,9.1,1.4,0.5,2.9,1.5,11.2
Ashley Walker,LAS,3,0,7.3,0.3,3.7,0.091,0,1.7,0,0.3,2,0.167,0.091,0,0,,0.7,1,1,0.3,0,0,1.3,0.7
Shatori Walker-Kimbrough,WAS,34,1,17.1,2.2,5.2,0.432,0.6,2.1,0.31,1.6,3.1,0.514,0.494,1.6,1.7,0.93,0.5,1.6,1.2,0.8,0.2,1,1.2,6.7
