PLAYER,TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,FP
Austin Reaves,LAL,LAL @ GSW,05/02/2023,W,39,10,4,9,44.4,2,5,40.0,0,0,-,2,3,5,3,0,0,0,2,3,20.5
Kevin Love,MIA,MIA @ NYK,05/02/2023,L,24,8,2,9,22.2,2,8,25.0,2,4,50.0,2,4,6,1,0,0,2,1,-3,14.7
Julius Randle,NYK,NYK vs. MIA,05/02/2023,W,38,25,8,18,44.4,3,9,33.3,6,6,100,1,11,12,8,0,0,3,1,14,48.4
RJ Barrett,NYK,NYK vs. MIA,05/02/2023,W,38,24,8,17,47.1,5,9,55.6,3,5,60.0,1,2,3,3,0,0,3,1,-5,29.1
Bam Adebayo,MIA,MIA @ NYK,05/02/2023,L,38,15,5,10,50.0,0,0,-,5,7,71.4,2,6,8,6,0,1,1,5,-9,35.6
Josh Hart,NYK,NYK vs. MIA,05/02/2023,W,33,14,4,11,36.4,2,4,50.0,4,7,57.1,1,10,11,9,1,0,1,3,16,42.7
Jalen Brunson,NYK,NYK vs. MIA,05/02/2023,W,39,30,10,19,52.6,6,10,60.0,4,4,100,1,4,5,2,2,0,1,1,12,44.0
Mitchell Robinson,NYK,NYK vs. MIA,05/02/2023,W,21,6,2,3,66.7,0,0,-,2,6,33.3,3,2,5,0,0,0,0,4,4,12.0
Haywood Highsmith,MIA,MIA @ NYK,05/02/2023,L,15,5,2,3,66.7,1,2,50.0,0,1,0.0,2,1,3,2,0,0,1,2,-3,10.6
Max Strus,MIA,MIA @ NYK,05/02/2023,L,25,17,7,12,58.3,3,7,42.9,0,0,-,0,1,1,1,0,0,0,5,-5,19.7
Kyle Lowry,MIA,MIA @ NYK,05/02/2023,L,31,6,3,9,33.3,0,4,0.0,0,0,-,0,4,4,6,1,1,1,2,-7,24.8
