Timestamp,Co-Leads [Elliot Chin],Co-Leads [Willow Taylor Chiang Yang],Co-Leads [Andrew Chu],Athletics Representative [Emma Leschly],Athletics Representative [Luke Martinez],Athletics Representative [Callisto Lodwick],Athletics Representative [Noah Van Horne],Spirit and Social Representative [Mira Deb],Spirit and Social Representative [Tyler Huang],Spirit and Social Representative [Nicole Kleinknecht],Community Service Learning Representative [Cole Bregman],Community Service Learning Representative [Valerie Braylovskiy],Community Service Learning Representative [Adrienne Park],Student Life Representative [Avery Chen],Do you have any comments or suggestions on the election process (overall or specifically for speeches and voting)?
5/26/2020 12:41:04,3rd,2nd,1st,2nd,3rd,1st,4th,1st,3rd,2nd,1st,3rd,2nd,1st,
5/26/2020 12:41:05,3rd,2nd,1st,3rd,1st,2nd,4th,2nd,3rd,1st,2nd,3rd,1st,1st,
5/26/2020 12:41:05,2nd,1st,3rd,2nd,3rd,1st,4th,1st,2nd,3rd,2nd,3rd,1st,1st,
5/26/2020 12:41:06,3rd,1st,2nd,2nd,3rd,4th,1st,3rd,1st,2nd,1st,2nd,3rd,1st,
5/26/2020 12:41:11,3rd,2nd,1st,4th,3rd,1st,2nd,3rd,1st,2nd,1st,3rd,2nd,1st,
5/26/2020 12:41:11,1st,3rd,2nd,1st,4th,3rd,2nd,1st,2nd,3rd,3rd,1st,2nd,1st,
5/26/2020 12:41:12,2nd,3rd,1st,3rd,4th,2nd,1st,3rd,2nd,1st,2nd,3rd,1st,1st,
5/26/2020 12:41:13,2nd,1st,3rd,1st,,,,3rd,2nd,1st,,2nd,1st,1st,"put pictures of the people with the names
"
5/26/2020 12:41:14,3rd,2nd,1st,3rd,2nd,1st,4th,1st,3rd,2nd,3rd,1st,2nd,1st,
5/26/2020 12:41:17,3rd,1st,2nd,2nd,3rd,1st,4th,1st,3rd,2nd,3rd,2nd,1st,1st,
