PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
Robin Lopez,CLE,35,2,1,1,6.0,8,3,3,100,0,0,0.0,2,2,100,1,0,1,0,1,0,0,2,8,0,0,3
Royce O'Neale,BKN,29,4,0,4,43.2,8,3,11,27.3,2,10,20.0,0,0,0.0,2,5,7,6,3,4,1,2,37,0,0,-24
Andrew Wiggins,GSW,28,4,2,2,33.7,7,3,12,25.0,0,7,0.0,1,2,50.0,1,5,6,0,1,0,3,4,22,0,0,-4
Dennis Schroder,LAL,29,4,3,1,25.8,7,3,8,37.5,1,4,25.0,0,0,0.0,0,0,0,0,3,1,0,1,7,0,0,-12
Evan Mobley,CLE,21,4,1,3,32.9,7,3,9,33.3,0,0,0.0,1,2,50.0,3,4,7,0,1,0,1,5,17,2,0,-1
Gary Payton II,GSW,30,3,1,2,16.4,7,3,4,75.0,1,1,100,0,0,0.0,2,0,2,0,1,0,0,1,8,0,0,-6
Tyus Jones,MEM,26,4,1,3,27.7,7,2,5,40.0,1,4,25.0,2,2,100,1,2,3,6,1,0,0,2,19,0,0,-6
Bismack Biyombo,PHX,30,3,3,0,12.5,6,3,5,60.0,0,0,0.0,0,1,0.0,3,1,4,2,0,0,1,1,17,0,0,10
Cameron Johnson,BKN,27,4,0,4,29.7,6,2,8,25.0,0,3,0.0,2,3,66.7,0,3,3,4,0,3,0,1,25,1,0,-25
Georges Niang,PHI,29,4,4,0,17.5,6,2,4,50.0,2,3,66.7,0,0,0.0,0,1,1,0,1,0,0,1,6,0,0,2
Haywood Highsmith,MIA,26,2,1,1,15.9,6,2,3,66.7,0,1,0.0,2,2,100,1,2,3,1,0,2,1,1,20,0,0,15
Jaylen Nowell,MIN,23,2,0,2,12.7,6,2,4,50.0,2,4,50.0,0,0,0.0,0,0,0,0,0,0,0,0,6,0,0,3
Josh Okogie,PHX,24,3,3,0,15.4,6,1,4,25.0,0,2,0.0,4,4,100,3,2,5,0,1,0,0,3,11,0,0,0
Kevon Looney,GSW,27,4,2,2,29.3,6,2,4,50.0,0,0,0.0,2,2,100,3,7,10,4,2,1,0,6,25,0,0,-9
Nic Claxton,BKN,24,4,0,4,19.7,6,3,5,60.0,0,0,0.0,0,0,0.0,1,5,6,1,0,0,0,2,15,1,0,-9
Saddiq Bey,ATL,24,4,1,3,23.7,6,2,4,50.0,2,2,100,0,0,0.0,1,7,8,1,1,0,0,0,16,0,0,1
Bruce Brown,DEN,26,4,3,1,27.5,5,2,7,28.6,1,4,25.0,0,0,0.0,0,1,1,3,2,2,0,3,15,0,0,-3
Damion Lee,PHX,30,3,3,0,9.1,5,1,1,100,1,1,100,2,2,100,0,0,0,0,0,0,0,2,5,0,0,1
Jae Crowder,MIL,32,2,1,1,9.4,5,2,4,50.0,0,1,0.0,1,2,50.0,0,2,2,1,0,2,0,0,15,0,0,1
MarJon Beauchamp,MIL,22,2,1,1,5.2,5,2,3,66.7,1,1,100,0,0,0.0,0,1,1,0,0,0,0,0,6,0,0,0
Mason Plumlee,LAC,33,4,1,3,18.1,5,2,3,66.7,0,0,0.0,1,1,100,2,3,5,1,0,0,1,2,16,0,0,-10
Zeke Nnaji,DEN,22,1,1,0,4.3,5,2,2,100,1,1,100,0,0,0.0,0,1,1,0,1,1,0,0,8,0,0,2
Clint Capela,ATL,28,4,1,3,16.7,4,2,5,40.0,0,0,0.0,0,0,0.0,1,2,3,0,2,1,0,1,9,1,0,0
Cody Zeller,MIA,30,3,2,1,18.7,4,2,2,100,0,0,0.0,0,0,0.0,1,7,8,3,2,0,0,2,16,0,0,13
Day'Ron Sharpe,BKN,21,2,0,2,9.0,4,1,1,100,0,0,0.0,2,2,100,2,3,5,1,2,0,0,2,10,0,0,-5
Goran Dragic,MIL,36,2,1,1,7.3,4,0,2,0.0,0,1,0.0,4,4,100,0,0,0,1,0,0,0,0,6,0,0,-5
Isaac Okoro,CLE,22,3,0,3,10.1,4,1,3,33.3,0,2,0.0,2,2,100,0,2,2,0,0,0,0,1,6,0,0,-1
Isaiah Hartenstein,NYK,24,4,3,1,29.1,4,1,3,33.3,0,0,0.0,2,4,50.0,4,5,9,4,2,3,0,6,28,0,0,8
Jarred Vanderbilt,LAL,24,3,2,1,11.4,4,2,2,100,0,0,0.0,0,0,0.0,0,0,0,0,1,1,0,4,6,0,0,2
Jordan Poole,GSW,23,3,2,1,16.2,4,1,7,14.3,0,4,0.0,2,2,100,0,0,0,3,1,1,0,1,11,0,0,-5
Kyle Lowry,MIA,37,3,3,0,23.6,4,2,5,40.0,0,1,0.0,0,0,0.0,0,4,4,4,2,2,1,1,22,0,0,24
Landry Shamet,PHX,26,2,1,1,9.6,4,2,5,40.0,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,0,5,0,0,0
Mitchell Robinson,NYK,25,3,3,0,18.9,4,2,2,100,0,0,0.0,0,0,0.0,3,3,6,1,0,0,1,1,16,1,0,3
Onyeka Okongwu,ATL,22,4,1,3,26.7,4,1,5,20.0,0,0,0.0,2,3,66.7,9,3,12,1,3,0,1,5,20,0,0,-11
Rudy Gobert,MIN,30,3,1,2,23.1,4,2,4,50.0,0,0,0.0,0,2,0.0,1,4,5,3,1,0,1,6,17,2,0,-11
Bobby Portis,MIL,28,3,1,2,12.6,3,1,5,20.0,1,4,25.0,0,0,0.0,2,3,5,0,0,1,0,3,12,1,0,-4
Dorian Finney-Smith,BKN,29,2,0,2,11.0,3,1,3,33.3,1,3,33.3,0,0,0.0,1,2,3,0,1,0,0,2,6,0,0,-15
Giannis Antetokounmpo,MIL,28,1,0,1,11.0,3,1,4,25.0,0,0,0.0,1,1,100,0,0,0,5,2,0,0,0,9,1,1,-14
Kentavious Caldwell-Pope,DEN,30,4,3,1,27.4,3,0,7,0.0,0,4,0.0,3,4,75.0,0,4,4,1,0,2,1,4,18,0,0,21
Nickeil Alexander-Walker,MIN,24,4,1,3,19.4,3,1,3,33.3,1,3,33.3,0,0,0.0,0,2,2,0,3,0,0,0,2,0,0,-5
PJ Dozier,SAC,26,1,0,1,3.0,3,1,2,50.0,1,2,50.0,0,0,0.0,1,1,2,0,0,0,0,0,5,0,0,4
Wesley Matthews,MIL,36,1,0,1,3.5,3,1,2,50.0,1,2,50.0,0,0,0.0,0,2,2,0,0,0,1,1,8,0,0,1
Yuta Watanabe,BKN,28,1,0,1,4.7,3,1,2,50.0,1,2,50.0,0,2,0.0,0,1,1,0,1,0,0,0,3,0,0,-4
Austin Rivers,MIN,30,3,1,2,18.8,2,1,3,33.3,0,2,0.0,0,0,0.0,0,4,4,0,0,0,0,0,7,0,0,3
David Duke Jr.,BKN,23,1,0,1,4.7,2,1,3,33.3,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,1,1,0,0,-4
DeAndre Jordan,DEN,34,2,1,1,5.2,2,1,1,100,0,0,0.0,0,0,0.0,0,1,1,1,2,0,0,2,3,0,0,3
Draymond Green,GSW,33,3,1,2,21.5,2,0,3,0.0,0,0,0.0,2,2,100,1,5,6,7,1,2,1,2,28,1,0,1
Jalen Johnson,ATL,21,2,1,1,7.5,2,0,2,0.0,0,0,0.0,2,2,100,2,1,3,1,2,0,0,1,5,0,0,-2
John Collins,ATL,25,3,0,3,18.9,2,0,3,0.0,0,2,0.0,2,2,100,0,3,3,0,0,0,1,1,9,0,0,8
Kevin Huerter,SAC,24,4,2,2,14.2,2,1,2,50.0,0,1,0.0,0,0,0.0,0,1,1,1,1,0,1,5,7,0,0,1
Kyle Anderson,MIN,29,3,0,3,20.5,2,0,3,0.0,0,0,0.0,2,2,100,2,3,5,5,1,1,0,6,18,0,0,-16
Lamar Stevens,CLE,25,1,0,1,3.7,2,0,1,0.0,0,0,0.0,2,2,100,0,3,3,0,0,0,0,0,6,0,0,6
Marcus Morris Sr.,LAC,33,2,0,2,7.1,2,1,3,33.3,0,2,0.0,0,0,0.0,0,1,1,0,0,0,0,1,3,0,0,-8
Max Strus,MIA,27,1,1,0,9.1,2,1,1,100,0,0,0.0,0,0,0.0,0,2,2,1,0,0,0,1,6,0,0,3
Nathan Knight,MIN,25,1,0,1,4.5,2,1,4,25.0,0,2,0.0,0,0,0.0,1,0,1,0,1,0,0,0,2,0,0,-5
Quentin Grimes,NYK,22,1,1,0,2.2,2,0,0,0.0,0,0,0.0,2,2,100,0,0,0,0,0,0,0,1,2,0,0,5
Shake Milton,PHI,26,1,1,0,3.3,2,1,1,100,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0,5,0,0,-3
Taurean Prince,MIN,29,3,1,2,11.1,2,0,0,0.0,0,0,0.0,2,2,100,0,1,1,0,1,0,0,1,2,0,0,-3
Chimezie Metu,SAC,26,1,0,1,3.0,1,0,0,0.0,0,0,0.0,1,1,100,0,0,0,0,1,0,0,0,0,0,0,4
P.J. Tucker,PHI,37,3,3,0,12.4,1,0,1,0.0,0,1,0.0,1,2,50.0,2,4,6,0,0,2,0,3,14,0,0,14
Raul Neto,CLE,30,2,1,1,6.9,1,0,1,0.0,0,1,0.0,1,2,50.0,0,0,0,1,2,0,0,2,1,0,0,-4
Alex Len,SAC,29,1,1,0,4.1,0,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,1,0,0,0
Amir Coffey,LAC,25,1,0,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-2
Anthony Lamb,GSW,25,1,1,0,2.5,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-1,0,0,-5
Brandon Boston Jr.,LAC,21,1,0,1,1.0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,1,0,0,0,-1,0,0,-2
Cam Thomas,BKN,21,1,0,1,4.5,0,0,1,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-4
DaQuan Jeffries,NYK,25,1,1,0,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2,0,0,0,-6
Danny Green,CLE,35,2,1,1,7.6,0,0,1,0.0,0,0,0.0,0,0,0.0,2,2,4,0,0,0,0,0,5,0,0,-10
Danuel House Jr.,PHI,29,1,1,0,2.4,0,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0,0,0,0,0,1,0,0,-3
David Roddy,MEM,22,4,1,3,8.9,0,0,3,0.0,0,3,0.0,0,0,0.0,1,1,2,1,1,0,0,0,3,0,0,-5
Dean Wade,CLE,26,1,0,1,3.7,0,0,0,0.0,0,0,0.0,0,0,0.0,0,2,2,0,0,0,0,0,2,0,0,6
Derrick Rose,NYK,34,1,1,0,2.5,0,0,4,0.0,0,1,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,-7
Edmond Sumner,BKN,27,1,0,1,4.5,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,0,0,2,0,0,-4
Furkan Korkmaz,PHI,25,1,1,0,2.4,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,-3
Grant Williams,BOS,24,2,1,1,3.8,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0
Ish Smith,DEN,34,1,1,0,4.3,0,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,0,1,1,0,0,2
Ish Wainright,PHX,28,2,1,1,1.5,0,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1
Ivica Zubac,LAC,26,3,1,2,11.1,0,0,1,0.0,0,0,0.0,0,2,0.0,1,1,2,0,1,0,0,0,1,1,0,0
