Timestamp,What grade will you be in next fall?,10th Grade Representative  [Luca Lit],10th Grade Representative  [Elianna Kondylis],10th Grade Representative  [Lucie Lin],10th Grade Representative  [Colin Cham],11th Grade Representative [Cate Rose],11th Grade Representative [Yash Narayan],12th Grade Representative [Bayan Shimizu],12th Grade Representative [Alex Chen],12th Grade Representative [Alexander Rubenstein],12th Grade Representative [Amanda Wang],Arts Representative [Eli Smirin],Arts Representative [Matthew Sakiyama],Arts Representative [Tomo Greenberg],Arts Representative [Alyssa Liao],Campus Steward [Anahita Asudani],Campus Steward [Stephanie Liu],Campus Steward [Caroline Phipps],Campus Steward [Maya Avida],Equity and Inclusion Representative  [Fiona Tan],Equity and Inclusion Representative  [Maya Bodnick]
5/21/2020 12:34:42,12th,,,,,,,4th,3rd,1st,2nd,4th,3rd,1st,2nd,,,,,1st,2nd
5/21/2020 12:34:48,12th,,,,,,,2nd,4th,1st,3rd,2nd,4th,3rd,1st,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:34:52,12th,,,,,,,3rd,,4th,1st,3rd,4th,2nd,1st,2nd,3rd,1st,4th,1st,
5/21/2020 12:34:52,10th,2nd,4th,3rd,1st,,,,,,,2nd,3rd,1st,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:34:54,12th,,,,,,,4th,1st,3rd,2nd,3rd,2nd,1st,4th,4th,3rd,2nd,1st,1st,
5/21/2020 12:34:55,12th,,,,,,,2nd,3rd,1st,4th,4th,3rd,1st,2nd,1st,3rd,2nd,4th,1st,
5/21/2020 12:34:55,12th,,,,,,,3rd,4th,1st,2nd,3rd,2nd,1st,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:34:56,12th,,,,,,,4th,1st,2nd,3rd,3rd,2nd,1st,4th,3rd,4th,1st,2nd,2nd,1st
5/21/2020 12:34:59,12th,,,,,,,4th,1st,3rd,2nd,4th,2nd,1st,3rd,4th,3rd,1st,2nd,1st,2nd
5/21/2020 12:34:59,12th,,,,,,,3rd,1st,2nd,4th,4th,3rd,1st,2nd,1st,3rd,4th,2nd,1st,
