Timestamp,Please indicate your age range.,Please indicate your gender.,Please indicate your race.,How many years have you been working in education?,Which option best describes your role in your school?,In what division do you work?,In what state is your school located?,How would you describe your school?,How much autonomy do you have in your job?,Know Yourself,Understand Emotions,Tell Empowering Stories,Build Community,Be Here Now,Take Care of Yourself,Focus on the Bright Spots,Cultivate Compassion,Be a Learner,Play and Create,Ride the Waves of Change,Celebrate and Appreciate,Purposefulness,Acceptance,Optimism,Empathy,Humor,Positive Self-Perception ,Empowerment ,Perspective,Curiosity,Courage,Perseverance ,Trust 
9/16/2019 9:05:44,60 - 64,Female,White,30 or more years,Administrator,Upper School,CA,4,3,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5
9/16/2019 9:23:08,60 - 64,Female,White,0 - 4 years,Support Staff,,CA,4,4,3,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,3,4,5,5,5,5,5
9/16/2019 9:35:06,30 - 34,Female,White,5 - 9 years,Teacher,Lower School,CA,3,4,4,3,2,4,2,3,3,5,5,2,3,3,4,4,4,4,2,2,2,4,4,2,3,3
9/16/2019 10:51:38,40 - 44,Female,White,5 - 9 years,Administrator,,CA,5,4,3,4,4,3,4,3,4,5,5,4,4,4,5,4,4,4,4,3,4,4,5,4,3,3
9/16/2019 10:59:58,30 - 34,Female,Prefer not to answer,5 - 9 years,Teacher,Upper School,CA,5,4,5,5,5,5,4,1,4,4,5,5,4,5,5,2,5,4,5,4,1,5,5,5,5,4
9/16/2019 11:53:34,60 - 64,Female,White,30 or more years,Teacher,Lower School,CA,2,4,5,4,5,5,4,4,5,4,4,4,5,5,5,5,5,4,4,4,4,5,5,4,4,5
9/16/2019 17:26:56,25 - 29,Female,Bi/Multiracial,0 - 4 years,Teacher,Upper School,CA,5,3,4,4,5,3,4,3,5,5,4,5,5,5,4,3,5,4,5,4,3,4,3,4,4,5
9/16/2019 21:22:35,60 - 64,Female,,30 or more years,Teacher,Lower School,CA,3,3,4,4,3,4,4,3,3,5,5,3,4,5,4,4,3,5,2,3,4,4,5,4,3,5
9/17/2019 10:01:06,30 - 34,Female,White,5 - 9 years,Teacher,Lower School,CA,5,3,4,4,4,4,4,4,4,4,4,3,4,3,5,4,5,4,3,4,3,4,4,2,3,3
9/18/2019 10:32:57,45 - 49,Female,White,0 - 4 years,Teacher,Middle School,CA,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
9/18/2019 13:48:42,50 - 54,Female,White,20 - 24 years,Teacher,Upper School,TN,3,4,4,4,4,3,4,5,4,5,5,3,4,4,4,4,5,5,5,4,4,3,5,4,4,3
9/18/2019 13:50:04,45 - 49,Female,White,20 - 24 years,Teacher,Upper School,TN,3,5,5,4,4,5,5,4,5,4,4,2,4,5,5,4,5,2,4,5,4,4,4,5,4,5
9/18/2019 13:52:38,45 - 49,Female,White,20 - 24 years,Teacher,Upper School,TN,2,4,4,4,4,5,4,5,5,5,5,5,5,4,5,3,5,5,4,4,4,5,5,5,4,5
9/18/2019 13:52:51,25 - 29,Female,White,0 - 4 years,Teacher,Upper School,TN,4,4,4,5,3,3,4,3,4,4,5,3,4,5,3,4,4,5,4,3,4,5,5,3,4,4
9/18/2019 14:05:54,65 - 69,Female,White,30 or more years,Teacher,Upper School,TN,4,4,5,5,5,5,4,4,5,5,4,5,4,4,5,5,5,5,5,4,4,5,4,5,4,5
9/18/2019 14:10:21,30 - 34,Female,White,5 - 9 years,Teacher,Upper School,TN,4,5,5,4,4,4,4,5,5,5,5,5,4,5,4,4,5,4,4,4,5,5,5,4,4,5
9/18/2019 14:15:06,55 - 59,Female,White,30 or more years,Teacher,Upper School,TN,2,4,4,3,5,4,4,3,4,5,4,4,2,4,5,4,5,4,5,4,3,5,4,3,4,5
9/18/2019 14:15:26,55 - 59,Female,White,30 or more years,Teacher,Upper School,TN,4,4,5,5,5,4,4,3,4,5,5,,4,4,5,4,4,5,5,4,4,5,5,5,4,4
9/18/2019 14:17:25,50 - 54,Female,Black or African American,5 - 9 years,Administrator,Upper School,TN,2,3,4,4,4,4,3,2,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
9/18/2019 14:17:36,35 - 39,Female,White,15 - 19 years,,Upper School,TN,3,4,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,5,3,4,4,4,3,4,4
9/18/2019 14:35:40,60 - 64,Female,White,30 or more years,Teacher,Upper School,TN,3,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5
9/18/2019 14:46:30,60 - 64,Female,White,30 or more years,Teacher,Upper School,TN,3,3,4,4,5,4,5,5,5,5,5,5,4,5,5,5,4,5,5,4,5,4,5,5,5,5
9/18/2019 14:55:44,35 - 39,Female,White,10 - 14 years,Teacher,Upper School,TN,3,4,5,5,5,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5
9/18/2019 15:30:58,55 - 59,Female,White,30 or more years,Teacher,Upper School,TN,2,4,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5
9/18/2019 15:33:46,35 - 39,Female,Bi/Multiracial,10 - 14 years,Teacher,Upper School,TN,3,4,5,3,4,3,5,4,4,4,4,3,3,4,5,5,5,5,4,4,4,5,5,4,4,5
9/18/2019 15:39:02,45 - 49,Female,White,20 - 24 years,Teacher,Upper School,TN,2,2,5,4,4,3,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5
9/18/2019 15:46:15,30 - 34,Female,White,0 - 4 years,Teacher,Upper School,TN,5,4,4,4,4,5,3,4,3,4,5,3,4,5,4,4,5,5,5,4,5,5,4,5,4,5
9/18/2019 22:36:34,45 - 49,Female,White,20 - 24 years,Teacher,Middle School,CA,5,5,5,4,5,5,4,1,4,4,5,5,4,4,5,4,4,4,4,2,3,4,5,3,5,4
9/19/2019 6:25:15,45 - 49,Female,Black or African American,5 - 9 years,Teacher,Upper School,TN,2,4,4,4,4,3,5,4,5,5,4,4,4,4,5,4,5,4,4,5,5,5,4,4,5,5
9/19/2019 12:22:52,35 - 39,Female,White,15 - 19 years,Teacher,Upper School,TN,3,4,3,3,3,2,2,1,3,4,4,4,3,2,5,3,2,5,4,1,3,4,5,3,3,2
9/19/2019 13:49:08,40 - 44,Female,White,10 - 14 years,Administrator,Upper School,TN,3,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,3,3,4,4,4,3,4,4
9/19/2019 14:21:21,45 - 49,Female,White,20 - 24 years,Teacher,Lower School,CA,3,4,5,5,5,5,4,4,4,5,4,4,4,5,5,4,5,5,5,4,4,5,5,5,5,4
9/20/2019 9:27:07,50 - 54,Female,White,20 - 24 years,Teacher,Middle School,TN,2,5,5,5,5,5,4,4,5,5,5,5,4,4,4,4,5,5,5,5,4,4,5,5,5,5
9/20/2019 9:32:10,25 - 29,Female,White,0 - 4 years,Support Staff,Middle School,TN,5,5,5,5,4,4,5,4,5,5,5,4,4,5,5,4,4,5,5,3,4,4,4,3,4,4
9/20/2019 9:33:37,40 - 44,Female,White,10 - 14 years,Teacher,Middle School,TN,3,4,5,4,4,4,3,4,3,5,4,5,4,4,3,4,4,5,5,3,3,4,4,4,3,3
