,Assister,Scorer,PTS
504,Stephen Curry,Klay Thompson,3
505,Donte DiVincenzo,Jonathan Kuminga,3
506,Anthony Lamb,Ty Jerome,3
507,Jonathan Kuminga,JaMychal Green,2
508,Donte DiVincenzo,Jordan Poole,2
509,Donte DiVincenzo,Jordan Poole,2
510,Donte DiVincenzo,JaMychal Green,2
511,JaMychal Green,Jordan Poole,3
512,Ty Jerome,Jordan Poole,2
513,Donte DiVincenzo,Moses Moody,3
514,Anthony Lamb,Ryan Rollins,3
515,Ty Jerome,Jonathan Kuminga,3
516,Anthony Lamb,Jonathan Kuminga,3
517,Moses Moody,Patrick Baldwin Jr.,2
518,Anthony Lamb,Patrick Baldwin Jr.,3
519,Anthony Lamb,Jonathan Kuminga,3
520,Jonathan Kuminga,Anthony Lamb,2
521,Ty Jerome,Patrick Baldwin Jr.,2
522,Kevon Looney,Andrew Wiggins,2
523,Draymond Green,Stephen Curry,2
524,Andrew Wiggins,Klay Thompson,3
525,Draymond Green,Stephen Curry,2
526,Andrew Wiggins,Kevon Looney,2
527,Stephen Curry,Draymond Green,2
528,Jordan Poole,Klay Thompson,3
529,Draymond Green,Klay Thompson,2
530,Stephen Curry,Klay Thompson,2
531,Donte DiVincenzo,Jonathan Kuminga,2
532,Draymond Green,Andrew Wiggins,2
533,Jordan Poole,Donte DiVincenzo,3
534,Draymond Green,Andrew Wiggins,3
535,Stephen Curry,Anthony Lamb,2
536,Anthony Lamb,Andrew Wiggins,2
537,Stephen Curry,Kevon Looney,2
538,Stephen Curry,Draymond Green,2
539,Draymond Green,Stephen Curry,2
540,Stephen Curry,Draymond Green,2
541,Draymond Green,Andrew Wiggins,3
542,Draymond Green,Kevon Looney,2
543,Kevon Looney,Draymond Green,3
544,Stephen Curry,Andrew Wiggins,3
545,Draymond Green,Andrew Wiggins,2
546,Stephen Curry,Andrew Wiggins,3
547,Jordan Poole,JaMychal Green,3
548,Anthony Lamb,Stephen Curry,3
549,Jonathan Kuminga,Anthony Lamb,3
550,Jordan Poole,Donte DiVincenzo,3
551,Draymond Green,Anthony Lamb,2
552,Draymond Green,Andrew Wiggins,3
553,Draymond Green,Jordan Poole,2
554,Jordan Poole,Andrew Wiggins,3
555,Stephen Curry,Klay Thompson,3
556,Jonathan Kuminga,Kevon Looney,2
557,Ryan Rollins,Patrick Baldwin Jr.,3
558,Draymond Green,Andrew Wiggins,3
559,Draymond Green,Stephen Curry,2
560,Andrew Wiggins,Draymond Green,2
561,Draymond Green,Stephen Curry,3
562,Klay Thompson,Kevon Looney,2
563,Kevon Looney,Andrew Wiggins,3
564,Draymond Green,Stephen Curry,2
565,Stephen Curry,Kevon Looney,2
566,Andrew Wiggins,Stephen Curry,2
567,Jordan Poole,JaMychal Green,2
568,Donte DiVincenzo,Stephen Curry,2
569,Donte DiVincenzo,Jordan Poole,2
570,Andrew Wiggins,Jordan Poole,3
571,Jordan Poole,Andrew Wiggins,2
572,Jordan Poole,Draymond Green,2
573,Jonathan Kuminga,Anthony Lamb,3
574,Anthony Lamb,Stephen Curry,2
575,Andrew Wiggins,Draymond Green,3
576,Andrew Wiggins,Kevon Looney,2
577,Kevon Looney,Andrew Wiggins,2
578,Kevon Looney,Draymond Green,2
579,Stephen Curry,Andrew Wiggins,3
580,Jordan Poole,JaMychal Green,2
581,Stephen Curry,Jordan Poole,3
582,Stephen Curry,Klay Thompson,3
583,Jordan Poole,Klay Thompson,3
584,Donte DiVincenzo,JaMychal Green,2
585,JaMychal Green,Klay Thompson,3
586,Donte DiVincenzo,Klay Thompson,3
587,Draymond Green,Stephen Curry,3
588,Donte DiVincenzo,Stephen Curry,3
589,Kevon Looney,Stephen Curry,3
590,Jordan Poole,Klay Thompson,3
591,Draymond Green,Andrew Wiggins,2
592,Stephen Curry,Draymond Green,2
593,Stephen Curry,Draymond Green,2
594,Draymond Green,Klay Thompson,2
595,Draymond Green,Andrew Wiggins,3
596,Draymond Green,Andrew Wiggins,3
597,Draymond Green,Stephen Curry,2
598,Stephen Curry,Klay Thompson,2
599,Draymond Green,JaMychal Green,2
600,Draymond Green,JaMychal Green,2
601,Jordan Poole,Donte DiVincenzo,3
602,Jordan Poole,Donte DiVincenzo,3
603,Klay Thompson,Jordan Poole,2
604,Andrew Wiggins,Jordan Poole,2
605,Jordan Poole,Jonathan Kuminga,2
606,Kevon Looney,Klay Thompson,3
607,Kevon Looney,Jonathan Kuminga,2
608,Draymond Green,Jonathan Kuminga,2
609,Kevon Looney,Andrew Wiggins,2
610,Klay Thompson,Draymond Green,2
611,Draymond Green,Klay Thompson,3
612,Stephen Curry,Klay Thompson,2
613,Andrew Wiggins,Klay Thompson,3
614,Kevon Looney,Andrew Wiggins,2
615,Draymond Green,Stephen Curry,3
616,Stephen Curry,Andrew Wiggins,3
617,Stephen Curry,Draymond Green,3
618,Jonathan Kuminga,JaMychal Green,2
619,Jordan Poole,Anthony Lamb,2
620,Jordan Poole,Donte DiVincenzo,3
621,Stephen Curry,Draymond Green,2
622,Draymond Green,Stephen Curry,3
623,Stephen Curry,Klay Thompson,3
624,JaMychal Green,Donte DiVincenzo,2
625,Donte DiVincenzo,Jordan Poole,3
626,Jordan Poole,Donte DiVincenzo,3
627,Andrew Wiggins,Kevon Looney,2
628,Stephen Curry,Kevon Looney,2
629,Jordan Poole,JaMychal Green,2
630,Donte DiVincenzo,Jordan Poole,3
631,Jordan Poole,Anthony Lamb,3
632,Jonathan Kuminga,Anthony Lamb,3
633,Jordan Poole,Draymond Green,2
634,Jordan Poole,Jonathan Kuminga,2
635,Jordan Poole,Anthony Lamb,2
636,Stephen Curry,Draymond Green,2
637,Klay Thompson,Andrew Wiggins,2
638,Klay Thompson,Jonathan Kuminga,2
639,Stephen Curry,Jonathan Kuminga,2
640,Draymond Green,Klay Thompson,2
641,Stephen Curry,Draymond Green,2
642,Kevon Looney,Andrew Wiggins,2
643,Draymond Green,Kevon Looney,2
644,Jordan Poole,Stephen Curry,3
645,Draymond Green,Andrew Wiggins,2
646,Jordan Poole,Andrew Wiggins,3
647,Donte DiVincenzo,Draymond Green,2
648,Jordan Poole,Draymond Green,2
649,Jordan Poole,Jonathan Kuminga,2
650,Anthony Lamb,Klay Thompson,3
651,Stephen Curry,Jonathan Kuminga,3
652,Andrew Wiggins,Stephen Curry,3
653,Draymond Green,Stephen Curry,2
654,Draymond Green,Klay Thompson,2
655,Stephen Curry,Draymond Green,3
656,Andrew Wiggins,Kevon Looney,2
657,Stephen Curry,Klay Thompson,3
658,Klay Thompson,Kevon Looney,2
659,Donte DiVincenzo,Klay Thompson,2
660,Klay Thompson,Jordan Poole,3
661,Jonathan Kuminga,Jordan Poole,3
662,Anthony Lamb,Andrew Wiggins,3
663,Draymond Green,Jordan Poole,2
664,Draymond Green,Donte DiVincenzo,2
665,Anthony Lamb,Stephen Curry,3
666,Stephen Curry,Klay Thompson,2
667,Draymond Green,Klay Thompson,2
668,Stephen Curry,Klay Thompson,2
669,Draymond Green,Stephen Curry,3
670,Draymond Green,Donte DiVincenzo,3
671,Kevon Looney,Andrew Wiggins,3
672,Stephen Curry,Draymond Green,2
673,Klay Thompson,Stephen Curry,3
674,Klay Thompson,Kevon Looney,2
675,Draymond Green,Andrew Wiggins,2
