PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%,SEASON
Nazr Mohammed,CHI,37,6-10,250,Kentucky,USA,1998,1,29,3.0,1.3,1.7,0.0,86.9,17.6,8.3,20.6,28.6,0.0,2015
Nene,WAS,32,6-11,250,None,Brazil,2002,1,7,10.0,7.9,6.6,1.5,-0.6,9.5,14.6,17.5,45.9,9.9,2015
Nick Calathes,MEM,26,6-6,213,Florida,USA,2009,2,45,10.0,3.3,1.6,1.6,3.2,0.8,12.6,17.7,41.8,19.5,2015
Nick Johnson,HOU,22,6-3,202,Arizona,USA,2014,2,42,9.0,1.3,0.4,0.4,-14.1,2.0,5.2,18.5,32.8,14.8,2015
Nicolas Batum,POR,26,6-8,200,None,France,2008,1,25,5.0,14.2,8.6,5.2,-7.2,2.7,17.1,19.0,46.9,21.1,2015
Nikola Mirotic,CHI,24,6-10,220,None,Montenegro,2011,1,23,11.0,5.7,2.7,0.8,6.5,3.8,12.6,21.6,42.1,9.1,2015
Norris Cole,NOP,26,6-2,175,Cleveland State,USA,2011,1,28,4.0,8.8,1.8,1.8,8.0,1.1,4.8,19.2,46.9,10.3,2015
O.J. Mayo,MIL,27,6-5,210,Southern California,USA,2008,1,3,6.0,9.0,3.3,3.0,-0.7,0.6,11.0,19.2,45.5,20.0,2015
Omer Asik,NOP,28,7-0,255,None,Turkey,2008,2,36,4.0,2.0,7.3,1.5,-22.1,14.0,25.4,10.3,30.6,11.8,2015
Otto Porter Jr.,WAS,22,6-8,198,Georgetown,USA,2013,1,3,10.0,10.0,8.0,1.8,9.5,6.8,15.2,13.6,51.4,8.2,2015
Pablo Prigioni,HOU,38,6-3,185,None,Argentina,Undrafted,Undrafted,Undrafted,17.0,3.1,1.1,2.3,-2.5,1.8,4.0,9.8,45.1,19.0,2015
Patrick Patterson,TOR,26,6-9,235,Kentucky,USA,2010,1,14,4.0,10.3,3.5,1.3,-16.7,3.3,9.3,13.2,71.3,8.6,2015
Patty Mills,SAS,26,6-0,185,St. Mary's,Australia,2009,2,55,7.0,10.1,2.7,1.1,16.2,3.5,12.0,20.0,74.4,11.4,2015
Pau Gasol,CHI,34,7-0,250,None,Spain,2001,1,3,10.0,14.4,9.4,3.1,9.4,5.4,21.5,22.2,53.9,17.2,2015
Paul Millsap,ATL,30,6-8,253,Louisiana Tech,USA,2006,2,47,16.0,15.2,8.7,3.4,5.3,6.2,17.3,21.8,49.9,15.0,2015
Paul Pierce,WAS,37,6-7,235,Kansas,USA,1998,1,10,10.0,14.6,4.2,0.9,1.0,0.0,13.4,17.3,67.7,4.9,2015
Pero Antic,ATL,32,6-11,260,None,Macedonia,Undrafted,Undrafted,Undrafted,15.0,4.2,2.9,0.3,1.4,4.2,16.2,14.4,51.6,3.3,2015
Phil Pressey,BOS,24,5-11,175,Missouri,USA,Undrafted,Undrafted,Undrafted,2.0,0.0,0.5,0.0,22.1,14.3,0.0,27.3,0.0,0.0,2015
Quincy Pondexter,NOP,27,6-7,220,Washington,USA,2010,1,26,4.0,7.3,5.0,3.0,-13.4,2.4,13.6,11.5,46.7,14.3,2015
Rajon Rondo,DAL,29,6-1,186,Kentucky,USA,2006,1,21,2.0,9.5,1.0,3.0,-41.8,2.4,2.9,23.7,47.5,25.0,2015
Ramon Sessions,WAS,29,6-3,190,Nevada-Reno,USA,2007,2,56,10.0,7.5,2.4,2.3,9.4,0.9,9.2,17.5,47.9,16.9,2015
Rasual Butler,WAS,36,6-7,215,La Salle,USA,2002,2,52,2.0,0.0,0.5,0.5,-20.0,0.0,10.0,6.7,0.0,16.7,2015
Raymond Felton,DAL,31,6-1,205,North Carolina,USA,2005,1,5,3.0,3.7,2.3,1.3,-16.4,2.1,15.8,19.0,33.7,16.7,2015
Richard Jefferson,DAL,35,6-7,234,Arizona,USA,2001,1,13,4.0,3.8,0.5,0.3,-30.9,0.0,3.9,14.9,50.4,2.9,2015
Robin Lopez,POR,27,7-0,255,Stanford,USA,2008,1,15,5.0,5.2,4.4,0.6,-20.2,7.3,11.1,9.8,70.2,5.0,2015
Russ Smith,MEM,24,6-0,165,Louisville,USA,2014,2,47,2.0,0.0,0.0,1.0,59.5,0.0,0.0,0.0,0.0,66.7,2015
Ryan Anderson,NOP,27,6-10,240,California,USA,2008,1,21,4.0,10.8,4.3,2.3,4.6,8.1,9.6,19.5,55.6,12.9,2015
Shaun Livingston,GSW,29,6-7,192,None,USA,2004,1,4,21.0,5.0,2.4,1.8,11.5,3.5,9.8,13.2,58.3,14.6,2015
Shawn Marion,CLE,37,6-7,228,UNLV,USA,1999,1,9,6.0,0.3,1.0,0.2,-9.8,6.7,17.4,10.0,16.7,6.7,2015
Shelvin Mack,ATL,25,6-3,207,Butler,USA,2011,2,34,10.0,3.9,1.1,1.0,-20.1,1.8,7.6,19.7,46.8,21.3,2015
Spencer Hawes,LAC,27,7-1,245,Washington,USA,2007,1,10,8.0,2.9,1.6,0.6,6.8,4.6,16.4,14.8,64.3,11.4,2015
Stephen Curry,GSW,27,6-3,190,Davidson,USA,2009,1,7,21.0,28.3,5.0,6.4,9.4,2.4,9.4,30.1,60.7,30.0,2015
Steve Blake,POR,35,6-3,172,Maryland,USA,2003,2,38,5.0,1.4,0.2,1.6,-20.4,0.0,2.4,15.7,29.5,30.8,2015
Taj Gibson,CHI,30,6-9,225,Southern California,USA,2009,1,26,12.0,7.4,5.5,1.0,-8.9,8.7,13.9,15.5,52.2,7.8,2015
