Player,FG%,FGA,3P%,3PA,FT%,ORB,DRB,AST,STL,BLK,TOV,PTS,Hierarchical
Mike Conley,0.438,0.6428571428571429,0.364,0.4621212121212121,0.845,0.1111111111111111,0.25225225225225223,0.5981308411214954,0.5909090909090908,0.1111111111111111,0.38,0.575070821529745,7
Pat Connaughton,0.466,0.21008403361344538,0.33,0.25,0.725,0.18518518518518517,0.2882882882882883,0.1869158878504673,0.22727272727272727,0.14814814814814814,0.1,0.17280453257790368,1
Quinn Cook,0.465,0.2184873949579832,0.405,0.20454545454545456,0.769,0.05555555555555555,0.16216216216216217,0.14953271028037385,0.13636363636363635,0,0.13999999999999999,0.17280453257790368,1
DeMarcus Cousins,0.48,0.4915966386554622,0.274,0.24242424242424246,0.736,0.25925925925925924,0.6126126126126126,0.33644859813084116,0.5909090909090908,0.5555555555555555,0.48,0.4390934844192634,7
Robert Covington,0.431,0.4033613445378152,0.378,0.4848484848484849,0.764,0.14814814814814814,0.42342342342342343,0.12149532710280375,0.9545454545454545,0.48148148148148145,0.26,0.35410764872521244,6
Allen Crabbe,0.367,0.3361344537815126,0.378,0.4545454545454546,0.732,0.07407407407407407,0.2792792792792793,0.10280373831775702,0.22727272727272727,0.1111111111111111,0.22000000000000003,0.2492917847025495,1
Torrey Craig,0.442,0.17226890756302518,0.324,0.1893939393939394,0.7,0.2222222222222222,0.2072072072072072,0.09345794392523366,0.22727272727272727,0.2222222222222222,0.12,0.13881019830028327,1
Jamal Crawford,0.397,0.25630252100840334,0.332,0.24242424242424246,0.845,0.018518518518518517,0.10810810810810811,0.33644859813084116,0.22727272727272727,0.07407407407407407,0.3,0.20113314447592068,1
Mitch Creek,0.5,0.10504201680672269,0,0.030303030303030307,0.714,0.2222222222222222,0.10810810810810811,0.11214953271028037,0.18181818181818182,0,0.04,0.09631728045325778,1
Jae Crowder,0.399,0.3907563025210084,0.331,0.49242424242424243,0.721,0.14814814814814814,0.36936936936936937,0.15887850467289721,0.36363636363636365,0.14814814814814814,0.22000000000000003,0.3144475920679886,6
Dante Cunningham,0.475,0.07563025210084033,0.462,0.07575757575757576,0.778,0.14814814814814814,0.19819819819819823,0.07476635514018692,0.18181818181818182,0.07407407407407407,0.06,0.06232294617563739,1
Seth Curry,0.456,0.2352941176470588,0.45,0.25757575757575757,0.846,0.07407407407407407,0.11711711711711713,0.08411214953271029,0.22727272727272727,0.07407407407407407,0.16,0.20113314447592068,1
