,Assister,Scorer,PTS
587,Matthew Dellavedova,Alex Len,2
588,Trey Lyles,Keegan Murray,3
589,Kevin Huerter,Domantas Sabonis,3
590,De'Aaron Fox,Harrison Barnes,3
591,Domantas Sabonis,Keegan Murray,2
592,Davion Mitchell,Harrison Barnes,2
593,Kevin Huerter,Harrison Barnes,2
594,De'Aaron Fox,Chimezie Metu,2
595,Malik Monk,Chimezie Metu,2
596,De'Aaron Fox,Keegan Murray,3
597,Malik Monk,Chimezie Metu,2
598,Malik Monk,De'Aaron Fox,3
599,KZ Okpala,Malik Monk,2
600,Malik Monk,Chimezie Metu,2
601,Domantas Sabonis,Malik Monk,2
602,Domantas Sabonis,Keegan Murray,3
603,Davion Mitchell,Malik Monk,3
604,Malik Monk,Davion Mitchell,2
605,Domantas Sabonis,Harrison Barnes,3
606,Domantas Sabonis,Kevin Huerter,3
607,Domantas Sabonis,Kevin Huerter,2
608,Domantas Sabonis,Harrison Barnes,3
609,Domantas Sabonis,Kevin Huerter,2
610,KZ Okpala,Davion Mitchell,2
611,Davion Mitchell,Malik Monk,2
612,De'Aaron Fox,Keegan Murray,3
613,Chimezie Metu,Harrison Barnes,2
614,Davion Mitchell,Chimezie Metu,2
615,Domantas Sabonis,Malik Monk,2
616,Davion Mitchell,Malik Monk,3
617,Kevin Huerter,Domantas Sabonis,2
618,Domantas Sabonis,De'Aaron Fox,3
619,Kevin Huerter,Harrison Barnes,3
620,Harrison Barnes,Keegan Murray,3
621,Keegan Murray,Harrison Barnes,3
622,Domantas Sabonis,Harrison Barnes,2
623,Davion Mitchell,Domantas Sabonis,2
624,De'Aaron Fox,Chimezie Metu,3
625,De'Aaron Fox,Kevin Huerter,3
626,Harrison Barnes,Domantas Sabonis,3
627,Kevin Huerter,Harrison Barnes,2
628,Domantas Sabonis,Kevin Huerter,3
629,Domantas Sabonis,Keegan Murray,3
630,Domantas Sabonis,Keegan Murray,2
631,Domantas Sabonis,Kevin Huerter,3
632,Kevin Huerter,Domantas Sabonis,2
633,Chimezie Metu,Keegan Murray,3
634,Malik Monk,Harrison Barnes,2
635,Domantas Sabonis,Keegan Murray,2
636,Alex Len,Richaun Holmes,2
637,Davion Mitchell,Harrison Barnes,3
638,Davion Mitchell,Keegan Murray,3
639,Kevin Huerter,Harrison Barnes,3
640,Domantas Sabonis,Keegan Murray,3
641,Domantas Sabonis,Keegan Murray,3
