,GAME,FGM,FGA,FG%,FTM,FTA,FT%,3FGM,3FGA,3FG%,PTS,TEAM
45,1/4,48,98,49.0,19,22,86.4,14,36,38.9,129,Philadelphia 76ers
46,1/2,41,86,47.7,23,28,82.1,15,35,42.9,120,Philadelphia 76ers
47,12/31,46,99,46.5,12,17,70.6,11,34,32.4,115,Philadelphia 76ers
48,12/30,42,75,56.0,18,22,81.8,14,34,41.2,116,Philadelphia 76ers
49,12/27,39,84,46.4,27,31,87.1,6,31,19.4,111,Philadelphia 76ers
50,12/25,39,77,50.6,23,29,79.3,18,39,46.2,119,Philadelphia 76ers
51,12/23,47,88,53.4,13,14,92.9,12,29,41.4,119,Philadelphia 76ers
52,12/21,41,93,44.1,20,22,90.9,11,37,29.7,113,Philadelphia 76ers
53,12/19,32,80,40.0,25,27,92.6,15,42,35.7,104,Philadelphia 76ers
54,12/16,39,85,45.9,25,31,80.6,15,38,39.5,118,Philadelphia 76ers
55,12/13,43,84,51.2,21,27,77.8,16,35,45.7,123,Philadelphia 76ers
56,12/11,46,83,55.4,26,32,81.3,13,27,48.1,131,Philadelphia 76ers
57,12/9,48,90,53.3,19,22,86.4,18,40,45.0,133,Philadelphia 76ers
58,12/5,39,87,44.8,28,36,77.8,17,36,47.2,123,Philadelphia 76ers
59,12/2,40,91,44.0,15,17,88.2,14,33,42.4,109,Philadelphia 76ers
60,11/30,32,77,41.6,15,18,83.3,6,26,23.1,85,Philadelphia 76ers
61,11/28,39,86,45.3,16,18,88.9,10,28,35.7,104,Philadelphia 76ers
62,11/27,50,77,64.9,22,27,81.5,11,27,40.7,133,Philadelphia 76ers
63,11/25,39,82,47.6,15,18,83.3,14,36,38.9,107,Philadelphia 76ers
64,11/23,38,86,44.2,16,18,88.9,9,38,23.7,101,Philadelphia 76ers
65,11/22,43,99,43.4,13,16,81.3,16,32,50.0,115,Philadelphia 76ers
66,11/19,34,71,47.9,27,32,84.4,14,32,43.8,109,Philadelphia 76ers
67,11/18,40,78,51.3,17,26,65.4,13,28,46.4,110,Philadelphia 76ers
68,11/13,40,83,48.2,21,26,80.8,4,23,17.4,105,Philadelphia 76ers
69,11/12,44,80,55.0,25,31,80.6,8,24,33.3,121,Philadelphia 76ers
70,11/10,32,83,38.6,25,30,83.3,6,30,20.0,95,Philadelphia 76ers
71,11/7,31,80,38.8,26,31,83.9,12,32,37.5,100,Philadelphia 76ers
72,11/4,37,98,37.8,17,21,81.0,13,47,27.7,104,Philadelphia 76ers
73,11/2,39,84,46.4,14,20,70.0,19,36,52.8,111,Philadelphia 76ers
74,10/31,46,83,55.4,14,20,70.0,12,30,40.0,118,Philadelphia 76ers
75,10/29,39,79,49.4,22,27,81.5,14,29,48.3,114,Philadelphia 76ers
76,10/28,43,82,52.4,10,11,90.9,16,38,42.1,112,Philadelphia 76ers
77,10/26,40,79,50.6,13,19,68.4,16,36,44.4,109,Philadelphia 76ers
78,10/24,38,80,47.5,25,28,89.3,19,43,44.2,120,Philadelphia 76ers
79,10/22,37,84,44.0,21,28,75.0,10,31,32.3,105,Philadelphia 76ers
80,10/20,36,83,43.4,11,13,84.6,5,24,20.8,88,Philadelphia 76ers
81,10/18,40,80,50.0,24,28,85.7,13,34,38.2,117,Philadelphia 76ers
0,4/9,35,89,39.3,15,16,93.8,10,37,27.0,95,Cleveland Cavaliers
1,4/6,46,88,52.3,8,9,88.9,18,38,47.4,118,Cleveland Cavaliers
2,4/4,42,84,50.0,18,20,90.0,15,31,48.4,117,Cleveland Cavaliers
3,4/2,44,90,48.9,18,26,69.2,9,24,37.5,115,Cleveland Cavaliers
4,3/31,44,86,51.2,11,13,84.6,17,37,45.9,116,Cleveland Cavaliers
5,3/28,47,93,50.5,15,22,68.2,9,25,36.0,118,Cleveland Cavaliers
